Reaction,Annotation
rxn34778,  Xenobiotics biodegradation and metabolism
rxn07307,  Energy metabolism
rxn34077,
rxn09896,  Xenobiotics biodegradation and metabolism
rxn09468,  Metabolism of other amino acids
rxn00899,
rxn15373,  Carbohydrate metabolism
rxn07689,  Lipid metabolism
rxn02313,  Carbohydrate metabolism
rxn02128,  Metabolism of cofactors and vitamins
rxn31364,  Energy metabolism
rxn37160,  Biosynthesis of other secondary metabolites
rxn16106,  Metabolism of terpenoids and polyketides
rxn01452,  Xenobiotics biodegradation and metabolism
rxn38099,  Metabolism of terpenoids and polyketides
rxn33436,  Metabolism of cofactors and vitamins
rxn11767,  Xenobiotics biodegradation and metabolism
rxn14050,
rxn07488,  Carbohydrate metabolism
rxn02363,  Amino acid metabolism
rxn35636,
EXpd00188,
rxn13746,
rxn13995,  Biosynthesis of other secondary metabolites
rxn33581,  Carbohydrate metabolism
rxn00336,  Carbohydrate metabolism
rxn03790,  Xenobiotics biodegradation and metabolism
EXpd00047,
rxn02020,  Nucleotide metabolism
rxn11760,  Xenobiotics biodegradation and metabolism
rxn38121,  Amino acid metabolism
rxn30979,
rxn20819,
rxn05519,
rxn14174,  Lipid metabolism
rxn30442,
rxn33182,
rxn28560,  Nucleotide metabolism
rxn03007,  Lipid metabolism
rxn07450,  Amino acid metabolism
rxn33349,
rxn16206,  Metabolism of other amino acids
rxn00993,  Amino acid metabolism
rxn04600,  Amino acid metabolism
rxn03126,  Energy metabolism
rxn32956,  Xenobiotics biodegradation and metabolism
rxn05147,  Nucleotide metabolism
rxn07758,  Biosynthesis of other secondary metabolites
rxn18961,  Carbohydrate metabolism
rxn35438,  Nucleotide metabolism
rxn15245,  Carbohydrate metabolism
rxn38694,  Metabolism of cofactors and vitamins
rxn16132,  Xenobiotics biodegradation and metabolism
rxn38243,  Amino acid metabolism
rxn33087,  Carbohydrate metabolism
rxn31275,  Lipid metabolism
rxn02304,  Metabolism of cofactors and vitamins
rxn00778,  Carbohydrate metabolism
rxn11772,  Xenobiotics biodegradation and metabolism
rxn19836,  Amino acid metabolism
rxn15822,  Metabolism of terpenoids and polyketides
rxn02112,  Carbohydrate metabolism
rxn06091,  Lipid metabolism
rxn32327,  Lipid metabolism
rxn01705,  Nucleotide metabolism
rxn00435,  Xenobiotics biodegradation and metabolism
rxn23817,  Metabolism of other amino acids
rxn00875,  Carbohydrate metabolism
rxn12217,
rxn24142,  Metabolism of cofactors and vitamins
rxn16126,  Metabolism of terpenoids and polyketides
rxn08431,
rxn16742,
rxn32796,  Amino acid metabolism
rxn35352,  Metabolism of cofactors and vitamins
rxn04913,  Lipid metabolism
rxn09016,  Metabolism of terpenoids and polyketides
