Reaction,Annotation
rxn11717, Lipid metabolism
rxn32560, Carbohydrate metabolism
rxn39376, Amino acid metabolism
rxn00033, Amino acid metabolism
rxn28046, Metabolism of cofactors and vitamins
rxn03339, Amino acid metabolism
rxn00623, Energy metabolism
rxn38115, Carbohydrate metabolism
rxn00258, Carbohydrate metabolism
rxn27774,
rxn38076,
rxn00940, Metabolism of cofactors and vitamins
rxn05651,
rxn16086, Xenobiotics biodegradation and metabolites
rxn01207,
EXpd00033,
rxn16323,
rxn27667, Carbohydrate metabolism
EXpd17026,
rxn17248, Metabolism of cofactors and vitamins
rxn08309,
rxn09427, Lipid metabolism
rxn38011, Metabolism of other amino acids
rxn31253, Lipid metabolism
rxn10580,
rxn15725, Biosynthesis of other secondary metabolites
rxn04298, Metabolism of terpenoids and polyketides
rxn01735, Amino acid metabolism
rxn01817, Carbohydrate metabolism
EXpd03587,
rxn04953,
rxn02122, Carbohydrate metabolism
rxn38024, Nucleotide metabolism
rxn04930, Carbohydrate metabolism
rxn01772, Amino acid metabolism
rxn37995, Carbohydrate metabolism
rxn02071, Amino acid metabolism
rxn32122, Carbohydrate metabolism
rxn00899,
rxn25494, Metabolism of cofactors and vitamins
rxn08429, Lipid metabolism
rxn32673,
rxn35553, Amino acid metabolism
rxn32074, Metabolism of cofactors and vitamins
rxn07318, Lipid metabolism
rxn15633, Carbohydrate metabolism
rxn04143, Carbohydrate metabolism
rxn30606, Nucleotide metabolism
rxn30710, Nucleotide metabolism
rxn38669, Biosynthesis of other secondary metabolites
rxn28797,
rxn14196, Metabolism of terpenoids and polyketides
rxn03856, Carbohydrate metabolism
rxn02772, Metabolism of terpenoids and polyketides
rxn07774, Metabolism of cofactors and vitamins
rxn12569, Metabolism of cofactors and vitamins
rxn02926, Amino acid metabolism
rxn16677, Amino acid metabolism
rxn00962, Xenobiotics biodegradation and metabolites
rxn01025, Nucleotide metabolism
rxn03704, Xenobiotics biodegradation and metabolites
rxn02319, Carbohydrate metabolism
rxn03809, Metabolism of terpenoids and polyketides
lipid_rxn,
rxn21936, Carbohydrate metabolism
rxn31419, Xenobiotics biodegradation and metabolites
rxn16497, Metabolism of terpenoids and polyketides
rxn34581, Metabolism of other amino acids
rxn00101, Nucleotide metabolism
rxn11078, Metabolism of cofactors and vitamins
rxn03437, Amino acid metabolism
rxn11355,
rxn38693,
rxn01221, Nucleotide metabolism
rxn01516, Nucleotide metabolism
rxn29082, Carbohydrate metabolism
rxn33884, Metabolism of cofactors and vitamins
rxn01635, Amino acid metabolism
rxn38499, Metabolism of terpenoids and polyketides
rxn04068, Lipid metabolism
rxn30541,
rxn04598, Amino acid metabolism
rxn01453, Carbohydrate metabolism
rxn04329, Metabolism of terpenoids and polyketides
rxn19487,
rxn01446, Nucleotide metabolism
rxn00532, Carbohydrate metabolism
rxn15754, Metabolism of cofactors and vitamins
rxn34300, Nucleotide metabolism
rxn31866,
rxn12582, Metabolism of cofactors and vitamins
rxn16574,
rxn03546, Xenobiotics biodegradation and metabolites
rxn15621, Metabolism of terpenoids and polyketides
rxn38113, Carbohydrate metabolism
rxn21114, Amino acid metabolism
