Reaction,Annotation
rxn05124, Amino acid metabolism
rxn05963, Lipid metabolism
rxn34194, Metabolism of other amino acids
rxn32303,
rxn06080, Lipid metabolism
rxn01064, Xenobiotics biodegradation and metabolites
rxn39268,
rxn32152, Xenobiotics biodegradation and metabolites
rxn15219, Carbohydrate metabolism
rxn16085, Xenobiotics biodegradation and metabolites
rxn09193, Metabolism of other amino acids
rxn16825, Carbohydrate metabolism
rxn01176, Carbohydrate metabolism
rxn01497, Amino acid metabolism
rxn03535, Metabolism of cofactors and vitamins
rxn03482, Carbohydrate metabolism
rxn02235, Lipid metabolism
rxn45744,
rxn32021, Metabolism of cofactors and vitamins
rxn02369, Xenobiotics biodegradation and metabolites
rxn32239,
rxn15338, Carbohydrate metabolism
rxn30020,
rxn35431,
rxn32939, Nucleotide metabolism
rxn32357,
rxn15365, Lipid metabolism
rxn01857, Carbohydrate metabolism
rxn29955, Nucleotide metabolism
rxn03814, Metabolism of terpenoids and polyketides
rxn02367, Amino acid metabolism
rxn30596, Amino acid metabolism
rxn04348, Metabolism of terpenoids and polyketides
rxn00638, Carbohydrate metabolism
rxn03342, Amino acid metabolism
rxn33363, Xenobiotics biodegradation and metabolites
rxn29952, Nucleotide metabolism
rxn09166, Metabolism of cofactors and vitamins
rxn28543, Carbohydrate metabolism
rxn00471, Amino acid metabolism
rxn04340, Metabolism of terpenoids and polyketides
rxn11000,
rxn17807, Lipid metabolism
rxn32982, Nucleotide metabolism
rxn32727,
rxn11877, Carbohydrate metabolism
rxn02085, Amino acid metabolism
rxn38692, Metabolism of cofactors and vitamins
rxn04482, Metabolism of terpenoids and polyketides
rxn02144, Xenobiotics biodegradation and metabolites
rxn15363, Carbohydrate metabolism
rxn23000, Carbohydrate metabolism
rxn32447, Energy metabolism
rxn38318, Amino acid metabolism
rxn08297,
rxn34226,
rxn15856, Biosynthesis of other secondary metabolites
rxn36506, Lipid metabolism
rxn03560, Xenobiotics biodegradation and metabolites
rxn37546,
rxn08547,
rxn16573, Metabolism of cofactors and vitamins
rxn16126, Metabolism of terpenoids and polyketides
rxn38053,
rxn08818,
rxn01279, Carbohydrate metabolism
rxn01575, Amino acid metabolism
rxn37600, Carbohydrate metabolism
rxn15964, Energy metabolism
rxn01364, Amino acid metabolism
rxn02015, Lipid metabolism
rxn27618, Lipid metabolism
rxn27108, Amino acid metabolism
EXpd00067,
rxn35311,
rxn07909, Xenobiotics biodegradation and metabolites
rxn03514, Metabolism of cofactors and vitamins
rxn02362,
rxn05112, Biosynthesis of other secondary metabolites
rxn28991, Energy metabolism
rxn06522,
rxn02092, Carbohydrate metabolism
rxn06149, Energy metabolism
rxn04034, Metabolism of terpenoids and polyketides
rxn34778, Xenobiotics biodegradation and metabolites
rxn16156, Metabolism of terpenoids and polyketides
rxn00590, Xenobiotics biodegradation and metabolites
rxn03749, Xenobiotics biodegradation and metabolites
rxn03601, Xenobiotics biodegradation and metabolites
rxn01750, Carbohydrate metabolism
rxn05674,
rxn29473,
rxn01715, Amino acid metabolism
EXpd00007,
