Duration (Hours),PGY (Modified) SM,PGY (Modified) SM,PGY (Modified) SM,M. curtisii SM,M. curtisii SM,M. curtisii SM,F. vaginae SM,F. vaginae SM,F. vaginae SM,A. christensenii SM,A. christensenii SM,A. christensenii SM
21.75,0.03345,0.06345,0.03345,0.030566667,0.045666667,0.022966667,0.0363,0.0359,-0.0314,0.105633333,0.040333333,0.027033333
21.92,0.01345,0.05485,0.01345,0.022666667,0.045066667,0.025666667,0.0365,0.048,-0.0237,0.1141,0.0477,0.0381
22.09,0.0361,0.0532,0.0361,0.032233333,0.049933333,0.019433333,0.034233333,0.045433333,-0.032966667,0.1109,0.0385,0.0342
22.25,0.025,0.0523,0.025,0.030266667,0.054866667,0.032366667,0.031633333,0.050433333,-0.022866667,0.119566667,0.046466667,0.046566667
22.42,0.0262,0.0603,0.0262,0.031466667,0.056366667,0.034766667,0.031566667,0.040266667,-0.027433333,0.124033333,0.041133333,0.040733333
22.59,0.0183,0.0516,0.0183,0.0326,0.0546,0.0322,0.034233333,0.044333333,-0.019566667,0.125366667,0.034266667,0.036366667
22.75,0.02685,0.05835,0.02685,0.035266667,0.055766667,0.031966667,0.030333333,0.041533333,-0.026266667,0.1275,0.0439,0.0384
22.92,0.01855,0.05405,0.01855,0.019833333,0.043533333,0.033833333,0.030766667,0.048366667,-0.025433333,0.128066667,0.037766667,0.031466667
23.09,0.0175,0.0583,0.0175,0.032133333,0.058433333,0.028633333,0.032033333,0.043533333,-0.022166667,0.138,0.0459,0.0435
23.25,0.03165,0.06045,0.03165,0.037533333,0.057933333,0.044833333,0.031366667,0.047266667,-0.016833333,0.1384,0.0494,0.0482
23.42,0.02665,0.06175,0.02665,0.040066667,0.059766667,0.038766667,0.028266667,0.051366667,-0.015633333,0.133666667,0.039066667,0.042066667
23.59,0.016,0.0449,0.016,0.0297,0.0568,0.0338,0.034866667,0.045366667,-0.024233333,0.144333333,0.045433333,0.039433333
23.75,0.0334,0.0599,0.0334,0.041366667,0.062666667,0.049866667,0.033266667,0.047066667,-0.026333333,0.1434,0.0443,0.0458
23.92,0.02445,0.06565,0.02445,0.040833333,0.063633333,0.052033333,0.034566667,0.043866667,-0.031333333,0.139933333,0.044333333,0.044733333
